"","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_verifications","latitude","longitude","room_type","accommodates","bathrooms","bedrooms","beds","price","minimum_nights","maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","number_of_reviews","reviews_per_month","review_scores_rating","instant_bookable","fully_booked_30","host_since_months_int"
"35","within an hour",99,88,"FALSE",83,"phone_email",-33.91783,18.4237,"Entire home/apt",2,1,0,1,672,1,1125,3.4,1125,19,1.26,4.68,"TRUE","no",163
"36","within a day",50,43,"FALSE",1,"phone_email",-33.95178,18.48317,"Entire home/apt",2,1,1,1,1125,3,730,2,730,8,0.08,4.75,"FALSE","no",120
"37","within an hour",100,100,"FALSE",1,"phone_only",-34.0979,18.48439,"Entire home/apt",4,1,2,3,1100,5,90,5.5,1125,63,0.89,4.67,"TRUE","no",80
"38","within an hour",90,59,"TRUE",2,"phone_email",-34.15765,18.42635,"Entire home/apt",2,1,1,1,728,2,30,2,30,50,0.53,4.88,"FALSE","no",104
"39","within a day",100,66,"TRUE",1,"phone_email",-33.78596636,18.45542607,"Entire home/apt",5,2,3,3,1890,2,365,2,365,41,2.25,4.9,"FALSE","yes",157
"40","within an hour",100,100,"FALSE",1,"phone_email",-34.07364,18.8504,"Private room",2,1,1,1,400,2,30,2,1125,90,0.85,4.93,"TRUE","no",113
"41","within an hour",100,75,"FALSE",2,"phone_email",-33.93966,18.5031223,"Private room",2,1,1,1,808,1,21,1,21,4,1.18,4.75,"FALSE","no",53
"42","within an hour",100,100,"TRUE",1,"phone_email",-34.10572,18.47337,"Entire home/apt",2,1,1,1,774,2,90,3.8,477.8,21,0.79,4.76,"FALSE","no",147
"43","a few days or more",20,56,"FALSE",2,"phone_email",-34.03318946,18.66851126,"Private room",2,1,1,1,224,1,365,1,365,2,0.41,3.5,"FALSE","no",14
"44","within a few hours",100,83,"TRUE",17,"phone_email",-33.95518,18.37825,"Entire home/apt",9,4,4,6,31515,4,180,4.1,182.1,21,0.44,5,"FALSE","no",163
