"","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_verifications","latitude","longitude","room_type","accommodates","bathrooms","bedrooms","beds","price","minimum_nights","maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","number_of_reviews","reviews_per_month","review_scores_rating","instant_bookable","fully_booked_30","host_since_months_int"
"2783","within an hour",100,99,"FALSE",40,"phone_email",-33.91543212,18.42148619,"Entire home/apt",4,2,2,2,1749,3,365,3.3,365,3,0.44,4.67,"TRUE","yes",100
"2784","within an hour",100,100,"TRUE",3,"phone_email",-33.8303457,18.5131074,"Entire home/apt",2,0.5,1,1,952,3,30,3,1125,10,0.99,5,"TRUE","no",110
"2785","within an hour",100,90,"TRUE",2,"phone_email",-34.09787,18.38864,"Entire home/apt",2,1,1,1,637,1,1125,1,1125,223,2.98,4.88,"FALSE","no",121
"2786","within an hour",100,89,"FALSE",42,"phone_email",-33.80988,18.4828,"Entire home/apt",4,3,3,3,1220,2,1080,2.2,1080,50,1.65,4.64,"FALSE","no",42
"2787","within an hour",100,65,"FALSE",9,"phone_email",-33.93332315,18.40654149,"Private room",2,1,1,1,1715,1,365,1,1125,1,0.12,5,"TRUE","no",78
"2788","within an hour",100,97,"TRUE",2,"phone_email",-33.91916323,18.42538859,"Entire home/apt",2,1,1,1,1370,2,365,2,365,58,1.97,4.78,"FALSE","no",90
"2789","within an hour",100,89,"TRUE",62,"phone_email",-33.9219018,18.3806645,"Entire home/apt",6,2,3,3,6345,1,365,2,365,39,1.63,4.85,"FALSE","yes",130
"2790","within an hour",100,100,"FALSE",7,"phone_email",-34.18525,18.42465,"Entire home/apt",6,3,3,5,3970,4,1125,3.7,731,19,0.18,4.58,"TRUE","no",118
"2791","within a day",80,67,"FALSE",1,"phone_email",-33.91786194,18.38618088,"Entire home/apt",2,1,1,1,2298,3,365,3,365,49,0.38,4.9,"FALSE","no",137
"2792","within an hour",100,100,"TRUE",5,"phone_email",-34.12358132,18.83133623,"Entire home/apt",5,1,2,3,878,2,40,2.1,1125,17,1.85,5,"FALSE","no",130
"2793","within an hour",80,97,"TRUE",46,"phone_email",-33.90975,18.42123,"Entire home/apt",6,1.5,3,3,10000,1,365,2.2,731,1,0.17,5,"TRUE","no",83
"2794","within an hour",100,100,"FALSE",1,"phone_email",-34.1909271,18.4260556,"Entire home/apt",2,1,1,1,1566,2,365,2,365,1,1,5,"FALSE","no",78
"2795","within an hour",100,98,"FALSE",2,"phone_email",-33.82443,18.49216,"Entire home/apt",6,3.5,3,3,2390,2,1125,2,1125,17,0.65,4.71,"FALSE","no",36
"2796","within an hour",100,91,"FALSE",4,"phone_email",-33.91771,18.42152,"Entire home/apt",4,1,2,2,990,2,365,1.3,1125,130,3.72,4.89,"FALSE","no",114
"2797","within a day",75,67,"FALSE",1,"phone_email",-33.931,18.40269,"Entire home/apt",6,2.5,4,4,7558,4,14,3.7,14,9,0.43,5,"FALSE","no",132
"2798","within an hour",100,100,"TRUE",77,"phone_email",-33.91621,18.39143,"Entire home/apt",2,1,1,1,1739,1,60,1.9,60,2,0.31,5,"TRUE","no",15
"2799","within an hour",100,100,"FALSE",4,"phone_email",-34.19415,18.42402,"Entire home/apt",2,1,1,1,1400,2,1125,1.9,731,13,0.23,5,"TRUE","no",132
"2800","within an hour",100,88,"FALSE",11,"phone_email",-33.90861,18.40718,"Entire home/apt",4,2,2,0,1329,2,1080,2.2,1125,294,3.18,4.74,"FALSE","no",124
"2801","within an hour",100,100,"TRUE",1,"phone_email",-33.9107376,18.4034268,"Entire home/apt",4,2,2,2,3275,3,90,3,1125,8,1.25,4.88,"TRUE","yes",16
"2802","within an hour",100,99,"FALSE",165,"phone_email",-33.91858,18.41734,"Entire home/apt",2,1,1,1,901,1,365,3.8,365,4,0.37,4,"TRUE","no",53
"2803","a few days or more",0,50,"FALSE",1,"phone_email",-33.81203344,18.65366694,"Entire home/apt",2,1,1,2,1525,1,365,1,365,3,0.42,5,"FALSE","no",25
"2804","within an hour",100,100,"FALSE",1,"phone_email",-34.01477,18.4449,"Entire home/apt",9,3.5,3,5,1833,7,365,7,1125,89,0.76,4.71,"FALSE","no",125
"2805","within a few hours",100,84,"TRUE",21,"phone_email",-34.00651224,18.46313367,"Entire home/apt",6,3.5,3,3,4000,7,365,7.2,365,3,0.15,5,"FALSE","no",147
"2806","within an hour",80,98,"FALSE",7,"phone_email",-33.92043,18.42341,"Entire home/apt",2,1,1,1,2079,1,45,1,999,326,8.03,4.58,"TRUE","no",48
"2807","within an hour",100,100,"FALSE",3,"phone_email",-34.01301,18.4415,"Entire home/apt",8,5.5,5,5,10800,6,300,6,300,2,0.02,5,"FALSE","yes",145
"2808","within an hour",100,78,"TRUE",55,"phone_email",-33.9966,18.44623,"Entire home/apt",8,3.5,4,5,12720,7,1125,7,1125,1,0.11,5,"FALSE","yes",126
"2809","within an hour",100,100,"FALSE",48,"phone_email",-33.79176,18.45672,"Entire home/apt",4,2,2,3,1280,5,1125,3,731,26,0.36,4.69,"TRUE","no",99
"2810","within a few hours",100,90,"TRUE",2,"phone_email",-34.01258,18.4622,"Private room",2,1,1,1,314,5,63,5,63,57,0.82,4.96,"FALSE","yes",111
"2811","within an hour",100,82,"TRUE",1,"phone_email",-34.12978,18.44704,"Entire home/apt",6,1.5,3,3,3574,3,240,2,240,17,0.62,4.94,"FALSE","no",109
"2812","within an hour",100,77,"FALSE",10,"phone_email",-33.93333873,18.44164878,"Private room",3,1,1,3,396,2,365,2,365,4,0.43,4,"FALSE","no",89
"2813","within a few hours",75,93,"FALSE",3,"phone_email",-33.9183843,18.3871388,"Entire home/apt",2,1,1,1,1427,3,365,3,365,27,0.79,4.93,"FALSE","no",120
"2814","within an hour",100,100,"TRUE",9,"phone_email",-33.91122577,18.39455452,"Entire home/apt",4,1.5,2,4,1903,1,365,1,1125,42,2.5,4.76,"TRUE","no",103
"2815","within a day",100,100,"FALSE",1,"phone_email",-33.98873901,18.44061089,"Entire home/apt",10,4,5,5,22000,7,21,7,21,5,0.07,5,"FALSE","yes",121
"2816","within an hour",100,96,"TRUE",148,"phone_email",-33.91771,18.42152,"Entire home/apt",4,2,2,2,3458,2,1125,2,1125,125,3.19,4.92,"FALSE","no",91
"2817","within an hour",100,98,"FALSE",8,"phone_email",-33.87852,18.54989,"Private room",2,1.5,1,1,331,2,90,2,1125,54,2.87,4.39,"TRUE","no",52
"2818","within an hour",100,96,"TRUE",1,"phone_email",-33.91068,18.39363,"Entire home/apt",4,2,2,2,2495,5,90,5,90,33,0.91,4.97,"FALSE","no",137
"2819","within an hour",100,94,"TRUE",6,"phone_email",-33.92066358,18.4235695,"Entire home/apt",4,2,2,2,1991,1,29,1,1125,4,2.26,5,"FALSE","no",129
"2820","within an hour",100,96,"TRUE",148,"phone_email",-33.91865146,18.4221153,"Entire home/apt",4,2,2,2,3473,2,1125,2,1125,26,3.59,4.88,"FALSE","no",91
"2821","within an hour",100,100,"FALSE",108,"phone_only",-33.81621,18.47517,"Entire home/apt",4,2,2,3,1422,3,365,3.4,365,3,0.23,4.67,"TRUE","no",163
"2822","within an hour",100,100,"FALSE",1,"phone_email",-34.1087545,18.8270759,"Private room",2,1,1,1,540,1,365,1,365,1,1,5,"FALSE","no",76
"2823","a few days or more",0,40,"FALSE",1,"phone_email",-34.11056,18.82702,"Entire home/apt",2,1,1,1,704,3,22,3,22,4,0.18,5,"FALSE","no",74
"2824","within a few hours",100,100,"FALSE",2,"phone_email",-34.04008,18.44732,"Entire home/apt",7,3.5,4,4,7000,3,14,3,14,19,0.23,5,"FALSE","yes",108
"2825","within an hour",100,100,"TRUE",1,"phone_email",-34.1981167,18.4471013,"Entire home/apt",2,1,1,1,945,1,30,1.5,30,98,4.71,4.99,"FALSE","no",55
"2826","within an hour",100,100,"TRUE",1,"phone_email",-33.9765345,18.4663132,"Entire home/apt",4,2,2,2,1891,2,365,2.3,1125,15,1.85,4.8,"TRUE","no",16
"2827","within an hour",90,44,"FALSE",11,"phone_email",-33.92467,18.42205,"Private room",2,1,1,1,621,1,365,1,365,2,0.08,3,"FALSE","no",41
"2828","within a day",100,96,"FALSE",1,"phone_email",-33.9293,18.42221,"Entire home/apt",2,1,1,1,788,2,365,2,365,25,1.13,4.72,"FALSE","no",83
"2829","within an hour",100,100,"TRUE",1,"phone_email",-33.884418,18.698774,"Entire home/apt",4,1,2,2,986,1,1125,1.1,1125,216,5.1,4.96,"TRUE","no",51
"2830","within an hour",100,100,"FALSE",85,"phone_email",-33.92975,18.42333,"Entire home/apt",2,1,1,1,1888,1,365,3.2,365,8,0.09,4.13,"TRUE","yes",167
"2831","within an hour",100,93,"TRUE",4,"phone_email",-33.92666,18.40118,"Entire home/apt",2,1,1,1,2821,4,1124,4,1124,214,1.79,4.93,"FALSE","no",133
"2832","within a few hours",100,80,"FALSE",1,"phone_email",-34.10073,18.36354,"Entire home/apt",10,2,4,6,5400,4,1125,4,1125,48,1.01,4.98,"FALSE","yes",116
"2833","within an hour",100,94,"TRUE",4,"phone_email",-34.1954,18.44542,"Entire home/apt",2,1,1,1,2100,2,90,1.7,731,5,0.21,5,"TRUE","no",121
"2834","within an hour",100,98,"TRUE",5,"phone_email",-33.94047,18.40974,"Entire home/apt",2,2,1,1,750,3,180,3,180,97,0.96,4.84,"FALSE","no",136
"2835","within an hour",100,90,"TRUE",1,"phone_email",-34.19285,18.43515,"Entire home/apt",6,2,3,5,1800,3,90,3,90,40,0.73,4.88,"TRUE","no",132
"2836","within a few hours",100,95,"TRUE",1,"phone_email",-33.95192,18.38164,"Entire home/apt",2,1,1,1,3000,2,30,2,30,96,1.4,4.93,"FALSE","no",113
"2837","within an hour",100,100,"TRUE",2,"phone_email",-33.91363,18.41924,"Entire home/apt",2,1,1,1,1612,2,21,2,21,171,2.28,4.86,"FALSE","no",144
"2838","within an hour",100,100,"TRUE",77,"phone_email",-33.915022,18.392077,"Entire home/apt",2,1,0,1,1413,1,60,1.9,60,20,4.32,4.85,"TRUE","no",15
"2839","within an hour",100,84,"TRUE",63,"phone_email",-33.9291635,18.42210003,"Entire home/apt",2,1,1,1,858,3,60,4,20,8,1.3,5,"FALSE","no",133
"2840","within an hour",100,98,"FALSE",12,"phone_email",-34.19309,18.43317,"Entire home/apt",2,1,0,0,1461,1,1080,1,1125,4,0.46,4.75,"FALSE","no",28
"2841","within an hour",100,96,"TRUE",9,"phone_only",-33.93454,18.46618,"Private room",1,3,1,1,340,7,1125,13.5,1125,19,0.24,4.95,"FALSE","yes",139
"2842","within an hour",100,100,"TRUE",6,"phone_email",-33.92081,18.42383,"Entire home/apt",6,2,2,3,2262,2,1125,3.1,731,155,1.43,4.78,"TRUE","no",143
"2843","within an hour",100,100,"TRUE",3,"phone_email",-34.01642,18.38911,"Entire home/apt",2,1,1,2,1508,2,14,2,1125,479,4.4,4.89,"TRUE","no",137
"2844","within an hour",100,100,"TRUE",1,"phone_email",-33.82779068,18.49509535,"Entire home/apt",2,1,1,1,524,1,1125,1,1125,27,4.22,4.85,"TRUE","no",49
"2845","within an hour",100,99,"FALSE",165,"phone_email",-33.9118761,18.3922077,"Entire home/apt",2,1,1,1,1468,1,28,3.8,28,8,0.39,4.13,"TRUE","no",53
"2846","within an hour",100,99,"FALSE",165,"phone_email",-33.90984336,18.39538411,"Entire home/apt",2,1,1,1,1117,1,365,3.8,365,20,2.01,4.55,"TRUE","no",53
"2847","within an hour",100,100,"FALSE",48,"phone_email",-33.82243,18.47801,"Entire home/apt",6,2,3,3,1829,5,1125,3,731,28,0.46,4.21,"FALSE","no",99
"2848","within an hour",100,90,"TRUE",5,"phone_email",-33.82436765,18.47859708,"Entire home/apt",6,2,3,3,1884,3,365,3.5,365,29,1.19,4.9,"FALSE","no",90
"2849","within an hour",100,100,"TRUE",3,"phone_email",-33.98043,18.4831,"Entire home/apt",5,1,2,5,1136,2,31,2,31,44,0.44,4.61,"FALSE","no",128
"2850","within an hour",100,93,"TRUE",4,"phone_email",-33.89762,18.54733,"Entire home/apt",1,1,1,1,450,2,1125,2,1125,25,0.35,5,"FALSE","no",109
"2851","within an hour",100,93,"FALSE",11,"phone_email",-34.045712,18.358877,"Entire home/apt",4,2,2,2,1755,4,365,4,365,8,0.23,4.75,"FALSE","yes",134
"2852","within a day",100,83,"FALSE",1,"phone_only",-33.81224,18.47043,"Entire home/apt",2,1,1,2,1422,7,100,7,100,22,0.17,4.68,"FALSE","no",137
"2853","within an hour",100,94,"TRUE",2,"phone_email",-33.82973,18.66849,"Private room",2,0.5,1,2,565,2,80,2,1125,19,0.18,4.79,"FALSE","no",121
"2854","within an hour",100,67,"FALSE",2,"phone_email",-34.10408,18.47387,"Entire home/apt",4,1.5,3,4,1130,2,28,2,28,56,0.6,4.93,"FALSE","no",144
"2855","within a few hours",100,94,"TRUE",3,"phone_email",-34.0676684,18.8450527,"Entire home/apt",2,2,2,2,2518,2,61,2,61,5,0.23,5,"FALSE","no",129
"2856","within an hour",100,100,"TRUE",2,"phone_email",-33.94227,18.42106,"Entire home/apt",2,1,1,2,1600,1,1125,1,1125,28,0.26,4.93,"TRUE","no",141
"2857","within a day",67,100,"FALSE",1,"phone_email",-33.91174,18.39061,"Entire home/apt",2,1,1,1,1710,3,20,3,20,4,0.19,4.75,"TRUE","no",94
"2858","within an hour",100,94,"TRUE",21,"phone_email",-33.9128407,18.4183492,"Entire home/apt",2,1,1,1,956,1,91,1,91,31,2.93,4.77,"FALSE","no",78
"2859","within an hour",100,92,"TRUE",2,"phone_email",-34.01178,18.43204,"Entire home/apt",2,1,1,1,1650,2,300,2.4,300,96,1.4,5,"FALSE","no",107
"2860","within a few hours",100,100,"FALSE",2,"phone_email",-34.10297,18.38385,"Entire home/apt",10,4.5,4,8,10000,5,30,5.1,30,2,0.03,5,"FALSE","yes",138
"2861","within an hour",100,90,"FALSE",176,"phone_only",-33.9497509,18.3797001,"Entire home/apt",4,2,2,3,3496,4,45,2.7,45,14,2.84,4.79,"FALSE","no",123
"2862","within a day",70,93,"TRUE",1,"phone_only",-33.92283,18.53306,"Entire home/apt",4,0.5,2,2,926,1,365,1,365,30,1.13,4.93,"FALSE","no",41
"2863","within an hour",90,96,"FALSE",6,"phone_email",-34.0474142,18.3467325,"Entire home/apt",12,0,6,7,5411,1,14,1.7,14,3,0.49,5,"TRUE","no",17
"2864","within a few hours",100,92,"TRUE",1,"phone_email",-33.90812,18.40648,"Entire home/apt",2,1,1,1,835,5,180,5.4,1125,50,0.57,4.88,"FALSE","yes",114
"2865","within a few hours",88,100,"FALSE",1,"phone_email",-33.8495517,18.6851326,"Entire home/apt",5,1,2,3,1084,1,365,1,365,1,1,5,"TRUE","no",102
"2866","within an hour",100,91,"TRUE",52,"phone_email",-33.90792,18.4081,"Entire home/apt",2,1,1,1,2196,1,1125,1.2,1125,6,0.67,4.17,"FALSE","no",21
"2867","within an hour",100,97,"TRUE",1,"phone_email",-33.95557,18.38416,"Entire home/apt",4,2.5,2,2,11429,2,1125,2.3,1125,15,1.38,5,"FALSE","no",141
"2868","within an hour",100,99,"FALSE",40,"phone_email",-33.97671,18.49541,"Entire home/apt",8,2,4,4,2045,3,365,3.2,1125,31,1.21,4.74,"TRUE","no",100
"2869","within a few hours",100,100,"TRUE",1,"phone_email",-33.91092216,18.39509006,"Entire home/apt",2,1,0,1,900,3,365,3,365,15,1.6,5,"FALSE","no",112
"2870","within an hour",100,100,"TRUE",6,"phone_email",-33.92777,18.42445,"Entire home/apt",2,1,1,1,1285,2,1125,2,1042.9,16,0.35,5,"FALSE","no",191
"2871","within an hour",100,86,"TRUE",24,"phone_email",-33.92025,18.39268,"Entire home/apt",2,1,1,1,1370,3,365,3,365,16,0.41,4.69,"FALSE","no",154
"2872","within an hour",100,98,"TRUE",16,"phone_email",-34.1360565,18.4287058,"Entire home/apt",4,1,2,3,2207,3,365,4,1125,20,0.68,4.95,"TRUE","no",102
"2873","within a few hours",100,89,"FALSE",1,"phone_email",-34.07496,18.86206,"Entire home/apt",4,2,2,2,1202,1,1125,1,1125,82,0.85,4.87,"FALSE","yes",106
"2874","within an hour",100,67,"FALSE",1,"phone_only",-33.98600856,18.44834971,"Entire home/apt",4,2.5,2,2,4500,14,90,14,90,3,0.14,5,"FALSE","yes",34
"2875","within an hour",100,50,"FALSE",2,"phone_only",-33.9208407,18.4165819,"Entire home/apt",2,1,1,1,2375,1,30,1,30,2,0.22,5,"FALSE","no",20
"2876","within an hour",100,87,"TRUE",1,"phone_email",-34.09373,18.81354,"Entire home/apt",2,1,1,1,842,2,1125,2,1125,106,1.99,4.94,"FALSE","no",74
"2877","within an hour",97,100,"FALSE",6,"phone_email",-33.9191835,18.4217517,"Entire home/apt",2,1,0,1,1109,2,365,2.3,1125,26,2.64,4.77,"TRUE","no",27
"2878","within an hour",100,94,"TRUE",2,"phone_email",-33.82043,18.64279,"Entire home/apt",7,3,4,5,7284,7,20,7,20,2,0.06,4,"FALSE","yes",125
"2879","within a few hours",100,90,"TRUE",3,"phone_email",-34.14673198,18.32141694,"Entire home/apt",2,1,1,1,2200,4,1125,4,1125,127,1.05,4.89,"FALSE","no",133
"2880","within an hour",100,100,"TRUE",3,"phone_email",-33.92104,18.48473,"Private room",2,2,3,4,200,4,400,4,1125,40,0.48,4.85,"FALSE","yes",92
"2881","within an hour",100,93,"TRUE",18,"phone_email",-33.92824,18.38339,"Entire home/apt",14,7.5,7,7,90000,7,31,7.3,31,2,0.05,5,"FALSE","yes",141
"2882","within an hour",100,100,"FALSE",108,"phone_only",-33.8234668,18.4791061,"Entire home/apt",3,1,2,2,1600,2,365,2.3,365,1,0.61,5,"TRUE","no",163
"2883","within an hour",100,99,"FALSE",165,"phone_email",-33.9118761,18.3922077,"Entire home/apt",2,1,1,1,1351,1,28,3.7,28,9,0.42,4.22,"TRUE","no",53
"2884","within an hour",100,97,"TRUE",4,"phone_email",-33.9115125,18.3895863,"Entire home/apt",4,2,2,2,2197,2,365,3.2,365,11,1.13,4.82,"FALSE","no",101
"2885","within an hour",100,91,"FALSE",29,"phone_email",-33.93975,18.46859,"Entire home/apt",2,1,1,1,494,2,1080,2.2,1125,18,1.16,4,"FALSE","no",68
"2886","within an hour",100,100,"FALSE",37,"phone_email",-33.909924,18.411049,"Entire home/apt",2,1,0,1,1015,1,1125,2.4,1125,7,0.14,4,"TRUE","no",103
"2887","within an hour",100,96,"TRUE",2,"phone_email",-33.81433,18.47304,"Entire home/apt",5,1,2,3,1529,2,1125,3.6,1125,43,0.41,4.84,"FALSE","no",140
"2888","within an hour",100,100,"FALSE",46,"phone_only",-33.91289,18.39192,"Entire home/apt",2,1,0,1,1280,1,60,1.9,1125,33,1.59,4.76,"TRUE","no",29
"2889","within an hour",100,100,"TRUE",2,"phone_email",-33.93949,18.40344,"Entire home/apt",4,1,1,2,1199,3,1125,3,1125,87,0.74,4.95,"TRUE","yes",126
"2890","within an hour",96,97,"FALSE",72,"phone_email",-33.9197911,18.4242716,"Entire home/apt",2,1,1,1,1722,1,365,1,1125,1,0.12,5,"TRUE","no",135
"2891","within an hour",100,97,"TRUE",2,"phone_email",-33.7872002,18.4561751,"Entire home/apt",5,1,2,3,1477,2,365,2,365,18,0.72,4.67,"TRUE","no",116
"2892","within a few hours",100,91,"TRUE",2,"phone_email",-33.8636466,18.4916184,"Private room",2,1,1,1,899,6,365,6,365,21,0.95,4.9,"FALSE","no",117
"2893","within a day",92,71,"TRUE",21,"phone_email",-33.97786,18.47486,"Entire home/apt",9,2,4,6,4200,8,365,7.9,355.8,4,0.12,4.75,"FALSE","yes",125
"2894","within an hour",100,100,"FALSE",3,"phone_email",-34.09433,18.8176,"Entire home/apt",4,2,2,3,1550,3,1125,3.1,1125,13,0.16,4.46,"FALSE","no",118
"2895","within an hour",100,100,"TRUE",2,"phone_email",-33.91164,18.39698,"Entire home/apt",2,1,0,1,949,2,90,3,563.5,80,1.86,4.96,"FALSE","no",120
"2896","within an hour",100,99,"TRUE",73,"phone_email",-33.92358,18.42175,"Entire home/apt",2,1.5,1,1,1410,1,365,1,365,3,1.88,5,"FALSE","no",123
"2897","within an hour",100,75,"FALSE",2,"phone_email",-33.89972,18.64708,"Entire home/apt",4,1,2,3,856,1,365,1,365,1,0.86,5,"FALSE","no",107
"2898","within a few hours",100,67,"FALSE",1,"phone_email",-34.10489,18.39296,"Entire home/apt",6,2,3,4,4800,7,30,7,30,18,0.19,4.89,"FALSE","no",132
"2899","within an hour",100,94,"TRUE",75,"phone_email",-33.9248154,18.3820346,"Entire home/apt",10,5.5,5,7,5180,4,365,4,365,16,1.75,4.94,"FALSE","no",141
"2900","within an hour",90,89,"FALSE",6,"phone_email",-33.73141,18.44107,"Entire home/apt",2,1.5,1,1,1400,2,20,2,20,7,0.15,3.86,"FALSE","no",65
"2901","within a few hours",100,86,"TRUE",5,"phone_email",-33.96601,18.38058,"Private room",1,1.5,1,1,1016,1,1125,1,1125,36,0.33,4.81,"FALSE","yes",154
"2902","within an hour",100,91,"FALSE",4,"phone_email",-33.9179835,18.4185458,"Entire home/apt",6,3,3,4,4482,3,60,3.2,1087.1,17,2.6,5,"TRUE","no",140
"2903","within an hour",100,99,"FALSE",165,"phone_email",-33.92612,18.44657,"Entire home/apt",2,1,1,1,855,1,87,3.8,87,19,0.43,4.68,"TRUE","no",53
"2904","within a day",67,53,"TRUE",3,"phone_email",-34.06546,18.43545,"Entire home/apt",10,5.5,5,5,7147,1,60,1,60,11,0.19,4.64,"FALSE","no",120
"2905","within an hour",100,98,"TRUE",7,"phone_email",-34.1996,18.45227,"Entire home/apt",4,1,2,3,2520,1,1125,2.5,731,26,0.36,4.62,"TRUE","no",127
"2906","within a few hours",100,100,"FALSE",1,"phone_email",-33.72669233,18.44363596,"Entire home/apt",4,1,1,4,1233,1,31,1.4,1125,6,0.32,5,"FALSE","no",123
"2907","within an hour",100,94,"FALSE",20,"phone_email",-33.92289,18.42173,"Entire home/apt",2,1,1,1,1346,3,1125,1.5,1125,3,0.02,3.67,"FALSE","no",158
"2908","within an hour",100,100,"TRUE",1,"phone_email",-34.04465,18.35072,"Entire home/apt",8,5,4,4,9237,3,60,3,60,11,0.52,5,"FALSE","no",141
"2909","within an hour",85,70,"FALSE",1,"phone_email",-33.91771,18.42152,"Entire home/apt",2,1,1,1,1073,1,365,1,365,10,3.13,5,"FALSE","no",11
"2910","within an hour",100,100,"TRUE",2,"phone_email",-33.79274094,18.45733253,"Entire home/apt",2,1,1,1,990,2,90,3.9,1125,7,1.06,4.86,"TRUE","no",66
"2911","within an hour",100,90,"TRUE",1,"phone_email",-33.91665,18.42187,"Entire home/apt",2,1,0,1,1205,3,270,3,270,123,2.45,4.93,"FALSE","no",145
"2912","within an hour",100,100,"TRUE",5,"phone_email",-33.9216368,18.3824149,"Entire home/apt",6,2,3,3,3003,1,365,2.2,365,48,5.22,4.96,"TRUE","no",19
"2913","within a few hours",100,89,"FALSE",1,"phone_email",-34.1583,18.86847,"Entire home/apt",4,2,2,3,1350,3,1125,3,1125,28,0.34,4.54,"TRUE","no",106
"2914","within an hour",100,73,"TRUE",1,"phone_email",-34.03557,18.36115,"Entire home/apt",7,3,4,5,4037,4,31,4.9,31,12,1.06,5,"FALSE","no",31
"2915","within a day",67,79,"TRUE",1,"phone_email",-33.81256,18.68904,"Entire home/apt",4,2,2,3,1164,2,365,2.8,365,9,1.12,5,"FALSE","yes",27
"2916","within an hour",100,90,"TRUE",12,"phone_email",-33.9099,18.42145,"Entire home/apt",6,3.5,3,4,13772,2,1125,2.3,1125,17,0.37,4.88,"FALSE","no",64
"2917","within an hour",100,96,"TRUE",9,"phone_only",-33.93379,18.46458,"Private room",2,1,1,1,340,14,1125,14,1125,1,0.01,5,"FALSE","no",139
"2918","within an hour",100,94,"FALSE",20,"phone_email",-33.90026,18.4045,"Entire home/apt",4,1,2,3,1830,3,1125,1.5,1125,33,0.24,4.39,"FALSE","no",158
"2919","within a day",100,96,"TRUE",3,"phone_email",-33.92982101,18.40096855,"Entire home/apt",2,1,0,1,907,3,60,3,1125,187,1.76,4.97,"FALSE","no",113
"2920","within an hour",100,60,"FALSE",3,"phone_email",-34.00755,18.34304,"Entire home/apt",12,5,6,6,17000,3,730,3,1125,21,0.18,4.81,"FALSE","no",157
"2921","a few days or more",33,40,"FALSE",1,"phone_email",-34.09943,18.36289,"Entire home/apt",6,3,3,3,3506,3,1125,3,1125,7,0.1,4.71,"FALSE","no",123
"2922","within an hour",100,100,"FALSE",1,"phone_email",-34.10246512,18.46709441,"Entire home/apt",2,1,1,1,675,2,365,2,365,3,0.45,4.67,"TRUE","yes",120
"2923","within an hour",100,95,"FALSE",15,"phone_email",-33.92645942,18.44547725,"Entire home/apt",4,1,2,3,1326,1,1125,1,768.4,3,3,4.33,"TRUE","no",10
"2924","a few days or more",0,100,"FALSE",1,"phone_email",-34.03236,18.4669,"Entire home/apt",1,1,1,1,717,3,90,3,90,51,0.72,4.86,"FALSE","yes",81
"2925","within a day",100,60,"FALSE",4,"phone_email",-34.16301,18.4312,"Private room",2,1.5,1,2,1112,2,20,2,20,9,0.15,4.78,"FALSE","no",114
"2926","within an hour",100,100,"FALSE",1,"phone_email",-33.9173083,18.388356,"Entire home/apt",2,1,0,1,1499,1,365,1.3,1125,11,0.99,4.73,"TRUE","no",19
"2927","within an hour",100,73,"FALSE",1,"phone_email",-33.92614,18.4159,"Entire home/apt",2,1,1,1,875,2,28,2,28,8,2.58,4.25,"TRUE","no",19
"2928","within an hour",100,100,"FALSE",2,"phone_only",-33.92840958,18.42108917,"Entire home/apt",4,2,2,1,744,2,90,2,1125,38,0.43,4.68,"FALSE","no",110
"2929","within an hour",100,100,"TRUE",1,"phone_only",-34.16268,18.87338,"Entire home/apt",4,2,2,3,1358,2,30,2,30,117,1.33,4.67,"FALSE","no",96
"2930","within a few hours",100,86,"TRUE",4,"phone_email",-34.08285,18.47211,"Entire home/apt",2,1,1,1,924,5,1125,5,1125,10,0.12,5,"FALSE","no",150
"2931","within an hour",100,75,"FALSE",1,"phone_email",-34.1497949,18.8812592,"Entire home/apt",6,2,3,1,1135,2,300,2,300,2,0.33,5,"FALSE","yes",103
"2932","within an hour",100,100,"TRUE",1,"phone_email",-33.91992,18.41279,"Entire home/apt",1,1,1,1,675,1,365,1,365,6,0.27,4.83,"FALSE","no",130
"2933","within an hour",100,100,"FALSE",2,"phone_email",-33.90455678,18.39771112,"Entire home/apt",3,1,1,1,2979,2,365,2,1125,3,0.39,5,"TRUE","no",118
"2934","within an hour",100,96,"FALSE",12,"phone_email",-33.90236,18.39976,"Entire home/apt",4,2,2,2,5076,2,365,2,365,26,2.21,4.73,"FALSE","no",86
"2935","within an hour",96,97,"FALSE",72,"phone_email",-33.9148523,18.4191019,"Entire home/apt",2,1,1,1,2408,1,365,1,1125,2,0.11,4.5,"TRUE","no",135
"2936","within a day",88,92,"TRUE",1,"phone_email",-34.10748647,18.82505012,"Entire home/apt",2,1,1,1,855,5,1125,3,1125,11,1.14,4.91,"FALSE","no",17
"2937","within a few hours",100,100,"TRUE",1,"phone_email",-34.03738,18.41739,"Entire home/apt",2,1,1,1,1350,3,1125,3,1125,64,0.77,4.95,"FALSE","no",90
"2938","within an hour",100,89,"FALSE",42,"phone_email",-33.92959,18.42457,"Entire home/apt",2,1,1,1,459,2,1080,2.2,1125,16,0.88,4.25,"FALSE","no",42
"2939","within an hour",100,77,"FALSE",10,"phone_email",-33.93149789,18.44313037,"Private room",2,1,1,2,347,2,365,2,365,5,0.51,4.2,"FALSE","no",89
"2940","within an hour",100,100,"TRUE",1,"phone_email",-34.15534,18.41384,"Entire home/apt",4,1,2,3,626,1,1125,1.4,1125,171,1.84,4.82,"TRUE","no",101
